id,book_name,char,caption,content,label,claims
92,The Count of Monte Cristo,Noirtier,A Double Life in the Napoleonic Era,"**Father-son Rift**: Discovering that his elder son Gérard (Villefort) sought to wed into the old aristocracy, Noirtier publicly burned the Saint-Méran betrothal contract (1804), forcing Villefort to flee to Paris overnight.",contradict,"[""G\u00e9rard Villefort sought to marry into the old aristocracy."", ""Noirtier discovered G\u00e9rard's plan."", ""Noirtier publicly burned the Saint-M\u00e9ran betrothal contract in 1804."", ""This action forced G\u00e9rard Villefort to flee to Paris overnight.""]"
1,In Search of the Castaways,Jacques Paganel,,"At twelve, Jacques Paganel fell in love with geography after reading Captain Cook’s nautical journal; with a homemade telescope he studied the stars and papered his bedroom walls with maps he drew himself, earning his father’s scolding for neglecting “serious” pursuits.",consistent,"[""Jacques Paganel read Captain Cook's nautical journal at twelve."", ""Captain Cook's nautical journal sparked love of geography in Jacques Paganel."", ""Jacques Paganel studied the stars with a homemade telescope."", ""Jacques Paganel papered his bedroom walls with maps he drew himself."", ""Jacques Paganel neglected \""serious\"" pursuits according to his father."", ""His father scolded Jacques Paganel for neglecting \""serious\"" pursuits.""]"
11,In Search of the Castaways,Jacques Paganel,,One night he saw first mate Ayrton secretly meet slave-traders; while shadowing them he was slashed across the left forearm with a dagger.,contradict,"[""He saw secret meeting between Ayrton and slave-traders one night."", ""Ayrton secretly met slave-traders that night."", ""The meeting took place at night."", ""He shadowed the slave-traders while they were together."", ""He was slashed with a dagger during his surveillance."", ""The slash occurred on his left forearm.""]"
65,In Search of the Castaways,Thalcave,,"British officers marvelled that he handled canoe, coast and jungle with equal ease, shuttling supplies and so preparing his later berth on the Dartmouth.",consistent,"[""He handled canoe easily."", ""He handled coast easily."", ""He handled jungle easily."", ""He shuttled supplies."", ""He prepared for a berth on Dartmouth.""]"
107,The Count of Monte Cristo,Noirtier,Political Intrigue and Personal Ambition,Napoleon’s triumph at Waterloo ended his hopes; in 1815 he withdrew from active plotting and turned to family affairs.,contradict,"[""Napoleon's triumph at Waterloo came to an end."", ""Napoleon's hopes were terminated."", ""He stopped engaging in active plotting."", ""He started focusing on family affairs."", ""The year was 1815.""]"
66,In Search of the Castaways,Thalcave,,"Lord Glenarvan met him briefly at a London Royal Geographical Society dinner, was struck by his encyclopaedic knowledge of mountains and seas and hired him at once as guide for the South-American interior.",contradict,"[""Glenarvan met someone at a London Royal Geographical Society dinner."", ""Someone's knowledge of mountains and seas impressed Glenarvan."", ""Glenarvan was struck by someone's knowledge."", ""Glenarvan hired someone as guide for the South-American interior."", ""Glenarvan did this immediately after meeting someone.""]"
89,The Count of Monte Cristo,Noirtier,Political Awakening in Youth,"**Turning Point**: Arguing for procedural justice at Louis XVI’s trial (1793) he was driven from the inner circle, an experience that later anchored his insistence on legal formalism.",contradict,"[""Louis XVI's trial took place in 1793."", ""He argued for procedural justice at the trial."", ""He was driven from the inner circle as a result."", ""This experience later influenced his emphasis on legal formalism.""]"
34,In Search of the Castaways,Tom Ayrton/Ben Joyce,,He found ship’s papers that mentioned an illicit Australian land deal by a British peer and planned to trade the information for a pardon.,consistent,"[""He found ship's papers."", ""Ship's papers mentioned an illicit Australian land deal."", ""The land deal was by a British peer."", ""He planned to trade information."", ""Information traded was about the land deal."", ""A pardon was planned to be traded for.""]"
99,The Count of Monte Cristo,Noirtier,Early Life and Political Awakening,"Born into a Parisian legal family, he absorbed his father’s staunch republicanism and his mother’s gentler sensibility, learning to balance reason with feeling.",consistent,"[""He was born in Paris."", ""His father's family was involved in law."", ""He absorbed his father's views on republicanism."", ""His father was a staunch republican."", ""His mother had a different personality than his father."", ""Her personality was gentler than her husband's."", ""He learned to balance reason with feeling.""]"
123,The Count of Monte Cristo,Faria,Foreshadowing of Relationships,"In Rome he and Noirtier de Villefort studied Napoleon’s secret letters together, then quarrelled over whether to publish their contents.",consistent,"[""He studied Napoleon's secret letters with Noirtier de Villefort in Rome."", ""He and Noirtier de Villefort read Napoleon's secret letters together in Rome."", ""They quarreled over whether to publish Napoleon's secret letters."", ""Noirtier de Villefort and he studied Napoleon's secret letters in Rome.""]"
116,The Count of Monte Cristo,Faria,The Origin of Political Intrigue,"In Lisbon he backed constitutionalist Prince Pedro, was branded a Jacobin plotter out to poison King John VI and fled conservatives’ pursuit.",contradict,"[""He backed Prince Pedro in Lisbon."", ""Prince Pedro is a constitutionalist."", ""He was branded a Jacobin plotter."", ""The goal of the plot is to poison King John VI."", ""Conservatives pursued him."", ""King John VI is the king.""]"
43,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"Suspected of colluding with the enemy, he panicked, slipped away in a lifeboat under darkness and fled to the Southern Hemisphere.",contradict,"[""He was suspected of colluding with the enemy."", ""The enemy is not specified."", ""He panicked."", ""He slipped away in a lifeboat."", ""The departure took place under darkness."", ""He fled to the Southern Hemisphere.""]"
108,The Count of Monte Cristo,Noirtier,The Complexity of Family and Personal Life,"He married a gentle apolitical woman, hoping domestic peace would replace political strife, and pinned on his son Villefort the hope that the boy would carry his ideals forward.",consistent,"[""Villefort got married"", ""He married a gentle woman"", ""The woman was apolitical"", ""He hoped for domestic peace after marriage"", ""Domestic peace replaced political strife after marriage"", ""He pinned hopes on Villefort to carry his ideals forward"", ""Villefort is Villefort's son""]"
128,The Count of Monte Cristo,Faria,The Origin of the Key Artifact,"His invisible-ink formula came from temple-mural restoration in India, first used to rescue local epics the colonists had defaced.",consistent,"[""The formula for his invisible ink comes from temple-mural restoration in India."", ""He obtained this formula while rescuing local epics."", ""Colonists had previously defaced these epics.""]"
29,In Search of the Castaways,Tom Ayrton/Ben Joyce,,The night before the mate was hanged he pressed a dagger engraved with his family crest into the boy’s hand.,consistent,"[""A person named Mate was scheduled to be hanged."", ""That person performed an action on the preceding night."", ""Mate pressed something."", ""What Mate pressed was a dagger."", ""The dagger had engraving."", ""The engraving represented Mate's family crest."", ""Mate applied the dagger into someone's hand."", ""The someone mentioned is a boy.""]"
69,In Search of the Castaways,Kai-Koumou,,"At seventeen he was poisoned by an uncle during a succession struggle; manuka-bark saved him and left his nature darker. To obtain powder against the colonists he led thirty warriors against the French merchantman Amethyst, seized flint-lock muskets and picked up basic French, then discovered the captain selling Maori slaves and sacrificed every prisoner to the volcano-god.",consistent,"[""He was poisoned at seventeen."", ""An uncle poisoned him during a succession struggle."", ""Manuka-bark saved him from poisoning."", ""His nature became darker due to the experience."", ""He led thirty warriors against the Amethyst."", ""He seized flint-lock muskets."", ""He learned basic French."", ""The captain of the Amethyst was selling Maori slaves."", ""Every prisoner was sacrificed to the volcano-god.""]"
50,In Search of the Castaways,Thalcave,,He saved an old shepherd bitten by a viper; in gratitude the man gave him a secret map of pampas water-holes and taught him that a guide’s duty is to keep life moving.,consistent,"[""He saved the old shepherd."", ""The old shepherd was bitten by a viper."", ""A man gave him a secret map of pampas water-holes."", ""The man taught him about a guide's duty."", ""The guide's duty is to keep life moving.""]"
5,In Search of the Castaways,Jacques Paganel,,"During an Algerian geological survey he shielded a box of specimens in a sand-storm, was struck on the head and afterwards often mixed up dates and directions.",consistent,"[""An Algerian geological survey took place."", ""He shielded a box of specimens during the survey."", ""A sandstorm occurred during the survey."", ""He was struck on the head by something."", ""Afterwards, he often mixed up dates."", ""He often got wrong the directions.""]"
39,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"After discharge he adopted the alias Ben Joyce and shipped on the Liverpool–Lisbon trader, forming a mentor-friend bond with Captain Dewey and second mate Eddie.",contradict,"[""Ben Joyce adopted an alias."", ""He shipped on the Liverpool-Lisbon trader."", ""Captain Dewey was his mentor-friend."", ""Eddie was his second mate.""]"
19,In Search of the Castaways,Jacques Paganel,,Because he spoke both French and English he was posted to a Mediterranean merchant fleet where he learned basic seamanship and celestial navigation.,consistent,"[""He spoke French."", ""He spoke English."", ""He was posted to a Mediterranean merchant fleet."", ""He learned basic seamanship."", ""He learned celestial navigation.""]"
113,The Count of Monte Cristo,Faria,Early Academic Background,"Born in Parma to a theological family—his father studied ancient manuscripts, his mother wrote poetry in several tongues.",contradict,"[""Alessandro was born."", ""Parma is his birthplace."", ""His father studied ancient manuscripts."", ""His father's field of study is not specified."", ""His mother wrote poetry."", ""She wrote poetry in multiple languages.""]"
139,The Count of Monte Cristo,Faria,Addendum to Character Relationships,"Enlightenment ideals of liberty, equality and fraternity sustained him, turning even the dungeon into a classroom for hope.",consistent,"[""Liberty sustained John."", ""Equality sustained John."", ""Fraternity sustained John."", ""The dungeon became a classroom for hope in his case.""]"
71,In Search of the Castaways,Kai-Koumou,,"During the north-island war he let troops burn an empty village, lured them into a swamp and battered them with captured European cannon; the victory won him the name “Bone-Eater,” but shrapnel crippled his left leg and he thereafter leaned on a peach-wood staff carved with sea-monster totems.",contradict,"[""Troops burned an empty village during north-island war"", ""He lured troops into a swamp"", ""He battered troops with captured European cannon"", ""The victory earned him the name \u201cBone-Eater\u201d"", ""Shrapnel crippled his left leg"", ""He leaned on a peach-wood staff carved with sea-monster totems""]"
26,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"Born in Liverpool’s slums to an alcoholic sailor father and a mother who died of tuberculosis while he was young, he watched his father be transported for smuggling and then endured an orphanage where nuns pilfered relief supplies, teaching him to despise authority.",consistent,"[""A person named him was born in Liverpool's slums."", ""His father was an alcoholic sailor."", ""His mother died of tuberculosis when he was young."", ""His father was transported for smuggling."", ""He spent time in an orphanage."", ""Nuns were present at the orphanage."", ""The nuns pilfered relief supplies."", ""He learned to despise authority.""]"
117,The Count of Monte Cristo,Faria,The Origin of Political Intrigue,While escaping he hid lifetime research manuscripts in a Madeira monastery cellar—the eventual clue to Monte Cristo’s treasure.,contradict,"[""He escaped."", ""He hid manuscripts."", ""The manuscripts were of his lifetime research."", ""They were hidden in a Madeira monastery cellar."", ""The cellar held the eventual clue to Monte Cristo's treasure.""]"
6,In Search of the Castaways,Jacques Paganel,,"In a Marseille waterfront bar he met young Captain Grant; a fierce argument over Magellan Strait tides almost came to blows, but ended in mutual respect and an exchange of pocket-watches.",consistent,"[""Captain Grant was present at a Marseille waterfront bar."", ""A fierce argument occurred between him and another individual."", ""The argument concerned Magellan Strait tides."", ""It nearly escalated into physical violence."", ""The disagreement ultimately ended in mutual respect."", ""An exchange of pocket-watches took place.""]"
76,In Search of the Castaways,Kai-Koumou,,"He carried a European pocket-watch taken from the French mate, its inner lid holding a lock of Julia’s hair, which explained both his grasp of mechanical time and his disgust for Christian objects.",consistent,"[""He carried an object."", ""The object was a European pocket-watch."", ""The watch was taken from someone else."", ""Someone who took it was French."", ""The watch had an inner lid."", ""The inner lid held a lock of hair."", ""The hair belonged to Julia."", ""His understanding of mechanical time was related to the watch."", ""His disgust for Christian objects was connected to something specific.""]"
17,In Search of the Castaways,Jacques Paganel,,"His father died early; his mother remarried a French officer, so the boy grew up fluent in English and French, later adding Spanish from an English tutor.",contradict,"[""His father died."", ""His mother remarried a French officer."", ""The boy grew up fluent in English."", ""The boy grew up fluent in French."", ""The boy added Spanish."", ""Let me know if this meets your requirements!""]"
20,In Search of the Castaways,Jacques Paganel,,After a failed attempt to save a drowning comrade he was injured; the naval commander’s praise when he recovered left him with a strong sense of duty toward rescue.,consistent,"[""A comrade tried to save someone from drowning and failed."", ""The comrade became injured as a result."", ""The naval commander praised the comrade's efforts."", ""The comrade recovered from their injuries."", ""The comrade received praise from the naval commander when they recovered."", ""The praise left the comrade with a strong sense of duty towards rescue.""]"
10,In Search of the Castaways,Jacques Paganel,,While recording thirty-two dialects along the Murray River he was expelled by British colonists; after his notes were burned he vowed to “measure every hidden truth with my own feet.”,consistent,"[""David Unaipon recorded thirty-two dialects."", ""He recorded these dialects along the Murray River."", ""British colonists expelled him."", ""His notes were burned."", ""(Note: I've kept the original names and proper nouns as requested, and formatted each fact in a simple subject-verb-object form.)""]"
122,The Count of Monte Cristo,Faria,Foreshadowing of Relationships,At a Vienna-congress salon he briefly watched young prosecutor Villefort tamper with evidence against an Italian revolutionary.,contradict,"[""He watched Villefort."", ""Villefort tampered with evidence."", ""Evidence was against an Italian revolutionary.""]"
62,In Search of the Castaways,Thalcave,,"Loss turned him taciturn, acting more than speaking; he felt deep pity for sufferers and stayed calmly watchful toward oppressors.",consistent,"[""Loss made him taciturn."", ""He acted more often than speaking."", ""He felt deep pity for those who suffered."", ""He remained calm while watching over oppressors.""]"
36,In Search of the Castaways,Tom Ayrton/Ben Joyce,,Ritual disguise: the Bible-quoting habit he had picked up as a mission pupil became a mask for his emotions.,consistent,"[""He had a habit of quoting the Bible."", ""The habit was picked up by him as a mission pupil."", ""The Bible-quoting habit served as a mask for his emotions.""]"
73,In Search of the Castaways,Kai-Koumou,,"Finding missionaries wrapping opium in Bible pages, he ordered every book burned except the sheepskin map showing ancestral migration routes.",consistent,"[""He found missionaries."", ""Missionaries wrapped opium in Bible pages."", ""He ordered books burned."", ""Except for a sheepskin map, all books were burned."", ""The sheepskin map showed ancestral migration routes.""]"
98,The Count of Monte Cristo,Noirtier,Resolution of Original Issues,"Hidden Waterloo-era diplomatic letters in his study ensured that political foes dared not silence him, explaining how he could still shield Valentine after losing the power of speech.",contradict,"[""Hidden letters were in his study."", ""The letters were from the Waterloo era."", ""Diplomatic letters ensured that foes did not silence him."", ""Political foes had a reason to silence him."", ""He could shield Valentine after losing the power of speech."", ""He lost the power of speech.""]"
25,In Search of the Castaways,Jacques Paganel,,On the eve of sailing aboard Duncan he met ex-General von Wallace and obtained notes on South-American inland geography and native customs.,consistent,"[""Duncan was being sailed on by someone."", ""He met ex-General von Wallace."", ""Ex-General von Wallace had notes on South-American inland geography."", ""Ex-General von Wallace had notes on native customs in South America."", ""He obtained notes from ex-General von Wallace.""]"
120,The Count of Monte Cristo,Faria,Life in Captivity Before Château d'If,"He invented a “salt-blood” ink that revealed under heat, used it to help a Corsican patriot escape, and was transferred to the more secure Château d’If for the trouble.",consistent,"[""He invented salt-blood ink."", ""The \""salt-blood\"" ink revealed under heat."", ""He used the \""salt-blood\"" ink to help a Corsican patriot escape."", ""The Corsican patriot was helped to escape due to his actions."", ""He got transferred to Ch\u00e2teau d\u2019If as a result.""]"
105,The Count of Monte Cristo,Noirtier,Political Intrigue and Personal Ambition,"He became head of a clandestine anti-Bonaparte society, organising underground actions to sap the Emperor’s support.",contradict,"[""He organized anti-Bonaparte society."", ""The society was clandestine."", ""He became head of the society."", ""The society's purpose was to organize underground actions."", ""The actions aimed to sap the Emperor's support.""]"
57,In Search of the Castaways,Thalcave,,"Early trauma: at seven his father vanished in a local uprising, at nine his mother died of illness; a banished Jesuit, Father Leclere, raised him in a mountain mission.",consistent,"[""A seven-year-old boy's father vanished in an uprising."", ""His mother died when he was nine years old due to illness."", ""Father Leclere, a banished Jesuit, raised the boy in a mountain mission.""]"
106,The Count of Monte Cristo,Noirtier,Political Intrigue and Personal Ambition,At a society meeting he met Fernand; though on opposite sides they used each other—Noirtier exploiting Fernand’s military information.,contradict,"[""He met Fernand at a society meeting."", ""Fernand and he were on opposite sides."", ""They used each other."", ""Noirtier exploited Fernand's military information.""]"
118,The Count of Monte Cristo,Faria,The Origin of Political Intrigue,"French gendarmes seized him at Toulon, accusing him of planning to bomb Bourbon restoration festivities; the real motive was that his code-breaking threatened a cardinal’s secret correspondence.",contradict,"[""French gendarmes seized him."", ""He was accused of planning to bomb Bourbon restoration festivities."", ""The motive was not what it seemed."", ""His code-breaking posed a threat."", ""A cardinal's secret correspondence was involved.""]"
126,The Count of Monte Cristo,Faria,The Formation of Spiritual Traits,His sister was burned as a witch for spurning a nobleman; the injustice fed a lifelong hatred of institutional rot.,consistent,"[""A sister was burned as a witch."", ""The sister was spurned by a nobleman."", ""An injustice occurred due to her being burned as a witch."", ""This event fueled a lifelong hatred of institutional rot.""]"
4,In Search of the Castaways,Jacques Paganel,,"Sitting in on lectures uninvited, he was thrown out after shouting “The secret is on the 37th southern parallel!” while the professor explained Earth’s equatorial bulge.",consistent,"[""He sat in on lectures without being invited."", ""He shouted \""The secret is on the 37th southern parallel!\"""", ""The professor explained Earth's equatorial bulge."", ""He was thrown out.""]"
125,The Count of Monte Cristo,Faria,The Formation of Spiritual Traits,"In India he watched British troops crush a rising; to spare the rebel leader further torture he gave the man a merciful death, shaping his ethic of “killing when kindness demands it.”",consistent,"[""He watched British troops crush a rising in India."", ""He gave a rebel leader a merciful death."", ""The rebel leader was spared further torture."", ""He shaped his ethic."", ""His ethic is \""killing when kindness demands it\"".""]"
40,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"Skilled in shipboard medicine, he secretly stitched soldiers’ wounds yet distrusted shipmates, keeping a mental log and cultivating a “save-yourself-first” instinct.",consistent,"[""He is skilled in shipboard medicine"", ""He secretly stitches soldiers' wounds"", ""Soldiers get their wounds stitched by him"", ""He keeps a mental log"", ""He distrusted his shipmates"", ""He cultivates a \""save-yourself-first\"" instinct""]"
96,The Count of Monte Cristo,Noirtier,Completing Character Relationships,When he saw that Valentine had inherited his trembling hands he began training her to communicate by eye movement (1819); after his own paralysis the method evolved into a blink-code.,contradict,"[""Valentine inherited his trembling hands."", ""He began training her."", ""She was trained to communicate."", ""The method was based on eye movement."", ""It evolved into a blink-code."", ""His own paralysis occurred.""]"
45,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"Watching natives slaughtered in a raid re-awakened his conscience: he cached weapons, torched the trader and raised a stone marker beside the blaze to record his regret and repentance.",contradict,"[""Natives were slaughtered in a raid."", ""He re-awakened his conscience."", ""He cached weapons."", ""He torched the trader."", ""A stone marker was raised beside the blaze."", ""The marker recorded his regret and repentance.""]"
54,In Search of the Castaways,Thalcave,,"He briefly loved Chilean doctor Mariana, who wanted him to settle down but was refused; she died nursing cholera-stricken Indians. When he burned her belongings he kept the brass compass she had given him.",consistent,"[""Mariana was a Chilean doctor."", ""He briefly loved Mariana."", ""Mariana wanted him to settle down."", ""He refused Mariana's request."", ""Mariana died while nursing cholera-stricken Indians."", ""He burned her belongings."", ""He kept the brass compass she had given him.""]"
8,In Search of the Castaways,Jacques Paganel,,While being helped by a native tribe he won their trust by sketching star-maps and in return learned tracking techniques and herbal lore.,consistent,"[""He was helped by a native tribe."", ""A native tribe was helping him."", ""He sketched star-maps to win their trust."", ""The native tribe trusted him after he sketched star-maps."", ""In return, they taught him tracking techniques."", ""They learned him herbal lore.""]"
32,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"During clashes between tribe and settlers he steered both sides toward mutual ruin, then welded the survivors into an underground intelligence web that straddled the two worlds.",consistent,"[""He steered tribe toward ruin."", ""He steered settlers toward ruin."", ""Both sides were mutually ruined."", ""The survivors formed an underground intelligence web."", ""The web spanned both the tribe's world and the settlers' world.""]"
14,In Search of the Castaways,Jacques Paganel,,Mutual recognition with Major McNabbs: both had lived among the Charrúa and confirmed their identities by exchanging certain hand signs.,contradict,"[""Major McNabbs recognized each other."", ""Major McNabbs had lived among the Charr\u00faa."", ""The Charr\u00faa was a group of people."", ""Major McNabbs exchanged hand signs with someone."", ""That someone was Mutual recognition.""]"
63,In Search of the Castaways,Thalcave,,With the rescue squad he learned enough nautical English to converse with Captain Horace and the sailors.,contradict,"[""He learned enough nautical English."", ""He conversed with Captain Horace."", ""He conversed with sailors.""]"
